fighter_id,name,weightclass,wins,losses,draws,currentElo,maxElo
1552,Belal Muhammad,Welterweight,15,4,0,1874.8192218143936,1874.8192218143936
1553,Andrew Sanchez,Light Heavyweight,5,5,0,1484.3611024872027,1597.6596949323357
1554,Khalil Rountree Jr.,Light Heavyweight,10,6,0,1656.7371097436,1676.4201840744956
1555,Tatiana Suarez,Women's Strawweight,7,1,0,1751.0759960812302,1776.9926686132749
1556,Amanda Cooper,Women's Strawweight,2,4,0,1409.4783744523213,1500.0
1557,Will Brooks,Lightweight,1,3,0,1448.1598559253152,1556.1063217022474
1558,Josh Stansbury,Light Heavyweight,1,2,0,1438.5927944945151,1540.0
1559,Cory Hendricks,Light Heavyweight,0,1,0,1460.0,1500.0
1560,Lando Vannata,Lightweight,4,7,2,1465.9286351915086,1538.8838823805131
1561,Katlyn Cerminara,Women's Bantamweight,11,6,0,1642.0473882397737,1690.452324352053
1562,Eric Spicely,Middleweight,2,5,0,1396.446809899126,1563.578305673149
1563,Matthew Lopez,Bantamweight,2,4,0,1473.4422754780592,1570.938125852808
1564,Devin Clark,Middleweight,8,9,0,1476.4212288341341,1550.4590098908973
1565,Bojan Mihajlovic,Heavyweight,0,3,0,1372.762835981994,1500.0
1566,JC Cottrell,Lightweight,0,2,0,1415.9062886625861,1500.0
1567,Dmitrii Smoliakov,Heavyweight,0,3,0,1355.4003194925124,1500.0
1568,Hector Sandoval,Flyweight,2,2,0,1501.548608856714,1551.6972497056408
1569,Joseph Gigliotti,Middleweight,0,2,0,1419.0639873378407,1500.0
1570,Danielle Taylor,Women's Strawweight,2,3,0,1460.9168556501788,1537.1117264889963
1571,Jason Novelli,Lightweight,0,2,0,1430.8432353014618,1500.0
1572,Justin Ledet,Heavyweight,3,4,0,1433.6663629226675,1611.6692170276401
1573,Chase Sherman,Heavyweight,4,11,0,1361.0153497735864,1500.0
1574,Mike Perry,Welterweight,7,8,0,1556.7329246704144,1654.6737123015312
1575,Sabah Homasi,Welterweight,0,3,0,1385.1710640939211,1500.0
1576,Chris Avila,Featherweight,0,2,0,1418.5077976665034,1500.0
1577,Max Griffin,Welterweight,8,9,0,1588.3523585711755,1614.3698871975016
1578,Marvin Vettori,Middleweight,9,6,1,1681.554982020921,1730.9107730274754
1579,Felipe Silva,Lightweight,1,2,0,1454.4984254435615,1542.2512398152373
1580,Jeremy Kennedy,Lightweight,3,1,0,1566.0630939404343,1613.6770208631904
1581,Alex Ricci,Lightweight,0,2,0,1422.9217583781683,1500.0
1582,Jessin Ayari,Welterweight,1,3,0,1423.1709331639333,1540.0
1583,Jim Wallhead,Welterweight,0,2,0,1414.4250253251203,1500.0
1584,Veronica Hardy,Women's Bantamweight,4,5,0,1506.523713909211,1542.147612812983
1585,Christian Colombo,Heavyweight,0,2,1,1408.9094099223864,1500.0
1586,Jack Hermansson,Middleweight,11,6,0,1686.7355175747678,1723.0345348445694
1587,CM Punk,Welterweight,1,1,0,1495.8749573546106,1500.0
1588,Michael McBride,Lightweight,0,2,0,1429.4280441710498,1500.0
1589,Jason Gonzalez,Lightweight,1,3,0,1429.5668149367539,1500.0
1590,Ricky Glenn,Lightweight,4,6,1,1473.348041920506,1584.476539539039
1591,Albert Morales,Bantamweight,1,4,1,1406.9293011008938,1512.1477343803938
1592,Lina Lansberg,Catch Weight,4,7,0,1424.1088693674603,1534.9570892146553
1593,Gregor Gillespie,Lightweight,7,1,0,1739.630810477225,1740.8107254649183
1594,Zak Ottow,Welterweight,4,4,0,1508.3783915798767,1558.397474214335
1595,Brandon Moreno,Flyweight,10,5,2,1779.784107626978,1831.8405921131791
1596,Joachim Christensen,Light Heavyweight,1,3,0,1423.5322061177303,1507.5982079864716
1597,Ketlen Vieira,Women's Bantamweight,8,4,0,1614.6387726581877,1652.861275816274
1598,Marc Diakiese,Lightweight,8,7,0,1515.256578939974,1617.484470593994
1599,Marcin Held,Lightweight,1,3,0,1454.1340846062963,1500.0
1600,Martin Bravo,Lightweight,1,3,0,1423.3743150654147,1570.0
1601,Claudio Puelles,Lightweight,5,3,0,1571.9815114558767,1653.5808592814794
1602,Alexa Grasso,Women's Strawweight,8,4,1,1717.9838770123995,1737.944153998123
1603,Alexander Volkov,Heavyweight,12,5,0,1789.7981794766752,1811.4132034276415
1604,Jack Marshman,Middleweight,3,5,0,1453.10720987244,1563.3343135076525
1605,Mark Godbeer,Heavyweight,2,2,0,1487.8735713974852,1536.7753894589084
1606,Brett Johns,Bantamweight,5,2,0,1624.5140736214596,1624.5140736214596
1607,Kwan Ho Kwak,Bantamweight,0,2,0,1407.9698743239924,1500.0
1608,Abdul Razak Alhassan,Welterweight,7,7,0,1505.822880967707,1634.9107412132587
1609,Charlie Ward,Welterweight,0,2,0,1406.5741231578538,1500.0
1610,Gadzhimurad Antigulov,Light Heavyweight,2,4,0,1407.8286876330073,1599.0437216543344
1611,Darren Stewart,Light Heavyweight,5,9,0,1445.464849415255,1553.4029514211645
1612,Alexander Volkanovski,Lightweight,13,3,0,1926.2530931497884,2015.4390510027338
1613,Tyson Pedro,Light Heavyweight,6,5,0,1536.7192073221893,1594.1444972846282
1614,Jenel Lausa,Flyweight,1,3,0,1406.5228527701431,1535.43462834688
1615,Matt Schnell,Bantamweight,7,7,0,1495.9054613102212,1611.5068081436254
1616,Jamie Moyle,Women's Strawweight,1,2,0,1450.4691077014113,1530.5206841960405
1617,Saparbeg Safarov,Light Heavyweight,1,3,0,1428.5570658562679,1500.0
1618,Ashley Yoder,Women's Strawweight,3,8,0,1373.3485990070242,1500.0
1619,Brian Camozzi,Welterweight,0,3,0,1382.2035734693586,1500.0
1620,Gerald Meerschaert,Middleweight,12,10,0,1582.0198980422417,1630.714945199133
1621,Shane Burgos,Featherweight,8,3,0,1666.007527413939,1683.373997410314
1622,Ryan Janes,Middleweight,2,2,0,1509.9867803675345,1535.4150692990165
1623,JJ Aldrich,Women's Strawweight,10,6,0,1568.7728551708144,1608.9784485432199
1624,Emil Meek,Welterweight,1,3,0,1473.2267468193413,1548.6906202305865
1625,Viviane Pereira,Women's Strawweight,2,2,0,1502.5781275475954,1580.6287387509947
1626,Paul Craig,Light Heavyweight,9,9,1,1571.4734993115742,1676.9429377663562
1627,Irene Aldana,Women's Bantamweight,8,6,0,1643.1761989229633,1669.2121597290354
1628,Niko Price,Welterweight,8,10,0,1527.5170568383182,1621.647819669536
1629,Drakkar Klose,Lightweight,9,3,0,1674.0570333986657,1716.3521266696619
1630,Devin Powell,Lightweight,1,3,0,1439.1968831391325,1500.0
1631,Bobby Nash,Welterweight,0,3,0,1373.988859720387,1500.0
1632,Jordan Johnson,Light Heavyweight,4,0,0,1653.8589866061382,1653.8589866061382
1633,Jeremy Kimball,Light Heavyweight,1,3,0,1421.8474024413292,1506.8624125530453
1634,Alexandre Pantoja,Flyweight,13,3,0,1835.0951011962306,1835.0951011962306
1635,Eric Shelton,Flyweight,2,4,0,1450.4113960530808,1500.0
1636,Volkan Oezdemir,Light Heavyweight,8,7,0,1639.6091062670635,1672.5563280620609
1637,Marcel Fortuna,Heavyweight,1,2,0,1464.6557559744167,1547.145198546875
1638,Ricardo Ramos,Bantamweight,8,6,0,1527.9388617182572,1634.8111562541194
1639,Gavin Tucker,Featherweight,4,3,0,1529.7851760212232,1622.1412679466985
1640,Gina Mazany,Women's Bantamweight,2,6,0,1355.6966465009987,1501.5973089617828
1641,Aiemann Zahabi,Bantamweight,6,2,0,1663.4337112609562,1663.4337112609562
1642,Cynthia Calvillo,Women's Strawweight,6,6,1,1482.7838407658105,1659.9798584799235
1643,Daniel Spitz,Heavyweight,1,3,0,1417.0444733097245,1501.7277978192092
1644,Andre Soukhamthath,Bantamweight,2,5,0,1428.9495723597472,1500.0
1645,Davi Ramos,Welterweight,4,3,0,1574.3293678345847,1645.0419938350867
1646,Paulo Costa,Middleweight,6,4,0,1661.5843994023091,1734.6967565692496
1647,Lucie Pudilova,Women's Bantamweight,3,8,0,1373.992448046875,1542.1038821083118
1648,Pearl Gonzalez,Women's Strawweight,0,2,0,1423.1378650553581,1500.0
1649,Desmond Green,Lightweight,4,3,0,1600.1915451049413,1600.1915451049413
1650,Bibulatov Magomed,Flyweight,1,2,0,1459.4347183870404,1544.0654760691743
1651,Tom Duquesnoy,Bantamweight,2,1,0,1539.6437903120905,1551.0302870078908
1652,Cindy Dandois,Women's Bantamweight,0,1,0,1466.0949042719765,1500.0
1653,Rashad Coulter,Heavyweight,1,3,0,1396.6726219581417,1500.0
1654,Oliver Enkamp,Welterweight,0,2,0,1427.2033937104445,1500.0
1655,Marlon Moraes,Bantamweight,5,6,0,1572.0212199101538,1731.398476571743
1656,Brian Kelleher,Bantamweight,8,9,0,1472.6070754825578,1619.115363301177
1657,Deiveson Figueiredo,Flyweight,13,4,1,1822.134434860145,1854.029124511163
1658,Luke Jumeau,Welterweight,2,2,0,1490.9152071001236,1534.8571278521597
1659,Ashkan Mokhtarian,Flyweight,0,2,0,1417.8050233810216,1500.0
1660,Chan-Mi Jeon,Women's Strawweight,0,2,0,1421.4142696524634,1500.0
1661,Rolando Dy,Featherweight,1,3,0,1418.2833357988,1500.0
1662,Frank Camacho,Welterweight,2,6,0,1384.5816215578534,1510.5140213747125
1663,Naoki Inoue,Flyweight,1,1,0,1492.4554454170463,1540.0
1664,Carls John De Tomas,Flyweight,0,2,0,1417.4703074334589,1500.0
1665,Ji Yeon Kim,Women's Bantamweight,3,7,0,1378.195550527662,1544.6090524647027
1666,Dominick Reyes,Light Heavyweight,8,4,0,1688.8786853007414,1757.7933569467993
1667,Jared Gordon,Featherweight,8,7,0,1570.6606645381776,1605.756493537978
1668,Michel Quinones,Featherweight,0,2,0,1419.2204483076364,1500.0
1669,Justin Gaethje,Lightweight,9,5,0,1811.195939309585,1823.0126967658882
1670,Nick Roehrick,Light Heavyweight,0,1,0,1453.643142477341,1500.0
1671,Tom Gallicchio,Welterweight,0,1,0,1467.1340511950034,1500.0
1672,Cody Stamann,Featherweight,7,7,1,1516.3328793983069,1666.8314218235319
1673,Terrion Ware,Featherweight,0,4,0,1361.7691035649748,1500.0
1674,Trevin Giles,Light Heavyweight,7,7,0,1479.0788036378672,1628.4244660758523
1675,James Bochnovic,Light Heavyweight,0,2,0,1404.8696061404803,1500.0
1676,Justin Willis,Heavyweight,4,1,0,1606.1312310485346,1643.7563911444136
1677,James Mulheron,Heavyweight,0,1,0,1460.0,1500.0
1678,Galore Bofando,Welterweight,1,1,0,1502.9421889702285,1544.2829506073294
1679,Danny Henry,Lightweight,2,2,0,1494.1816233659572,1582.5296925665411
1680,Daniel Teymur,Lightweight,1,4,0,1390.2576954454714,1500.0
1681,Amanda Lemos,Women's Bantamweight,9,4,0,1687.1451030231256,1703.5873892811378
1682,Eryk Anders,Middleweight,10,8,0,1595.4330095699638,1600.642562904256
1683,Junior Albini,Heavyweight,1,4,0,1409.270532304531,1555.811694815711
1684,Tonya Evinger,Women's Featherweight,0,3,0,1387.0267720557006,1500.0
1685,Calvin Kattar,Featherweight,7,7,0,1622.742079550816,1725.4218703572278
1686,Jarred Brooks,Flyweight,2,2,0,1493.0641496611267,1535.4150692990165
1687,Humberto Bandenay,Featherweight,1,3,0,1428.933099598746,1557.9517437367406
1688,Joseph Morales,Flyweight,1,2,0,1459.3523216876965,1548.0
1689,Robert Sanchez,Flyweight,1,2,0,1455.4721751835198,1500.0
1690,Rob Wilkinson,Middleweight,0,2,0,1411.0102874394154,1500.0
1691,Talita Bernardo,Women's Bantamweight,1,3,0,1417.2374446040117,1500.0
1692,Mads Burnell,Lightweight,1,2,0,1470.1095564521768,1504.4639171029835
1693,Aleksandar Rakic,Light Heavyweight,6,4,0,1624.5688611760002,1715.3165461300978
1694,Zabit Magomedsharipov,Featherweight,6,0,0,1718.021597121785,1718.021597121785
1695,Mike Santiago,Featherweight,0,3,0,1371.6277918761434,1500.0
1696,Abdul-Kerim Edilov,Light Heavyweight,1,0,0,1540.0002809197538,1540.0002809197538
1697,Arjan Bhullar,Heavyweight,3,1,0,1568.6571562700642,1568.6571562700642
1698,Alex Reyes,Welterweight,0,3,0,1388.467100114205,1500.0
1699,Azunna Anyanwu,Heavyweight,0,1,0,1469.3268163567377,1500.0
1700,Gokhan Saki,Light Heavyweight,1,1,0,1496.3524842832555,1544.2497978393526
1701,Syuri Kondo,Women's Strawweight,1,3,0,1417.2299249693688,1534.897735768311
1702,Daichi Abe,Welterweight,1,2,0,1468.5909512500307,1540.3114616462176
1703,Mara Romero Borella,Women's Flyweight,2,5,0,1386.9661664510345,1548.0
1704,Kalindra Faria,Women's Flyweight,0,3,0,1370.0348298676452,1500.0
1705,Poliana Botelho,Women's Strawweight,3,4,0,1453.5788611363257,1584.0926961883965
1706,Jodie Esquibel,Women's Strawweight,0,4,0,1356.8365394489165,1500.0
1707,Oskar Piechota,Middleweight,2,4,0,1402.1350982025695,1579.810893733698
1708,Nasrat Haqparast,Lightweight,10,4,0,1683.1980863376666,1683.1980863376666
