id,fighter_id,name,weightclass,wins,losses,draws,currentElo,maxElo
396,2171,Shayilan Nuerdanbieke,Featherweight,3,3,0,1467.1448161036535,1565.9318146187536
397,2174,Gregory Rodrigues,Middleweight,7,3,0,1645.907598978875,1685.2163392305931
398,2175,Kamuela Kirk,Featherweight,1,2,0,1455.93166502164,1551.6136702976887
399,2176,Tabatha Ricci,Women's Flyweight,6,3,0,1613.6836566346358,1643.5389166859911
400,2177,Terrance McKinney,Lightweight,6,4,0,1559.3896939121626,1598.251695243517
401,2178,Jeremiah Wells,Welterweight,4,2,0,1587.7910338959705,1681.167721653236
402,2180,Preston Parsons,Welterweight,2,4,0,1440.9790305074112,1518.7508052040862
403,2181,Elise Reed,Women's Flyweight,4,4,0,1481.183850211328,1500.0
404,2182,Melsik Baghdasaryan,Featherweight,3,2,0,1523.8812594436515,1583.4258768421462
405,2184,Orion Cosce,Welterweight,1,2,0,1433.9521276726532,1500.0
406,2185,Melissa Gatto,Women's Flyweight,3,2,0,1555.5809980521476,1592.9238675668564
407,2187,Josiane Nunes,Women's Bantamweight,3,3,0,1472.2840451547509,1610.724372206351
408,2188,Bryan Battle,Middleweight,8,1,0,1739.8016903848609,1739.8016903848609
409,2189,Gilbert Urbina,Middleweight,1,2,0,1459.607972806402,1504.761870658709
410,2190,Ricky Turcios,Bantamweight,2,3,0,1442.779521169886,1540.0
411,2191,Brady Hiestand,Bantamweight,3,1,0,1591.9506334767848,1591.9506334767848
412,2192,Andre Petroski,Middleweight,8,2,0,1650.149054857495,1680.760967358235
413,2194,Vanessa Demopoulos,Women's Flyweight,5,3,0,1549.4741470998629,1593.4220152666237
414,2196,Paddy Pimblett,Lightweight,6,0,0,1746.3389867017663,1746.3389867017663
415,2198,Mandy Bohm,Women's Flyweight,1,2,0,1447.1398352933052,1500.0
416,2200,Erin Blanchfield,Women's Flyweight,7,1,0,1750.2489409319585,1750.2489409319585
417,2202,Cody Brundage,Middleweight,5,6,0,1495.914805509261,1553.459787219217
418,2204,Mike Breeden,Lightweight,1,3,0,1445.2565275461398,1500.0
419,2207,Istela Nunes,Women's Strawweight,0,4,0,1338.7096239790878,1500.0
420,2208,David Onama,Lightweight,5,2,0,1621.9546963398172,1621.9546963398172
421,2209,Maria Oliveira,Women's Strawweight,1,3,0,1418.9623443851692,1500.0
422,2210,Daniel Lacerda,Flyweight,0,6,0,1282.5897539254065,1500.0
423,2212,Albert Duraev,Middleweight,2,2,0,1498.8745451247344,1535.3568407132043
424,2213,Benoit Saint Denis,Welterweight,5,3,0,1628.4655264387493,1696.932195515286
425,2215,Alex Pereira,Middleweight,9,2,0,1914.2304870878768,1952.2203592468868
426,2216,Chris Curtis,Middleweight,5,5,0,1564.825001743565,1663.307500713266
427,2217,Ian Machado Garry,Welterweight,8,1,0,1757.1396229509694,1786.6352009974894
428,2219,CJ Vergara,Flyweight,3,4,0,1450.7875071848562,1526.8074041292973
429,2220,Natan Levy,Lightweight,2,2,0,1486.251633627101,1525.038547952162
430,2222,Viacheslav Borshchev,Lightweight,3,4,1,1484.8388200085153,1545.2218403292202
431,2223,Joanderson Brito,Featherweight,5,2,0,1661.2397245953402,1703.378909445939
432,2224,Joseph Holmes,Middleweight,1,3,0,1408.721992732859,1500.0
433,2225,Andre Fialho,Welterweight,2,5,0,1424.9266780811913,1576.0897366330962
434,2226,Michael Morales,Welterweight,5,0,0,1733.1094619363355,1733.1094619363355
435,2227,Victor Henry,Bantamweight,3,3,0,1541.0959956506483,1591.15518674379
436,2228,Jack Della Maddalena,Welterweight,7,0,0,1802.970645773941,1802.970645773941
437,2229,Pete Rodriguez,Welterweight,1,2,0,1450.551951457206,1500.2202624426168
438,2231,Genaro Valdez,Lightweight,0,3,0,1374.7490617016313,1500.0
439,2232,Jasmine Jasudavicius,Women's Flyweight,7,2,0,1667.0354621917745,1667.0354621917745
440,2233,Tresean Gore,Middleweight,2,2,0,1515.1913688152233,1515.1913688152233
441,2234,Chidi Njokuani,Middleweight,5,3,0,1584.8470506240392,1596.147353309071
442,2235,Jailton Almeida,Light Heavyweight,8,1,0,1782.427924524549,1782.427924524549
443,2236,Denys Bondar,Flyweight,0,3,0,1374.7032840828122,1500.0
444,2237,AJ Dobson,Middleweight,1,3,0,1426.3571687760625,1500.0
445,2238,Blood Diamond,Welterweight,0,3,0,1389.6432088502474,1500.0
446,2239,Nikolas Motta,Lightweight,3,3,0,1521.633430614619,1521.633430614619
447,2240,Chad Anheliger,Bantamweight,2,3,0,1455.089702302487,1544.9862567242296
448,2241,Christian Rodriguez,Featherweight,5,2,0,1606.2310871844422,1633.128371321378
449,2243,Armen Petrosyan,Middleweight,3,4,0,1462.1270152853554,1580.256900231971
450,2245,Carlos Hernandez,Flyweight,3,3,0,1492.882003056019,1540.0
451,2246,Victor Altamirano,Flyweight,2,4,0,1423.506541891653,1541.1111617319716
452,2247,AJ Fletcher,Welterweight,1,3,0,1451.8420642784015,1500.0
453,2248,Javid Basharat,Bantamweight,4,2,0,1558.0976587257794,1641.9706469231176
454,2249,Azamat Murzakanov,Light Heavyweight,4,0,0,1687.4572158276433,1687.4572158276433
455,2250,Muhammad Mokaev,Flyweight,7,0,0,1736.1683388659874,1736.1683388659874
456,2251,Aliaskhab Khizriev,Middleweight,2,0,0,1590.7083815184048,1590.7083815184048
457,2252,Denis Tiuliulin,Middleweight,1,5,0,1364.7867781456796,1501.102855578872
458,2253,Josh Fremd,Middleweight,2,4,0,1432.5844482982795,1500.0
459,2254,Mike Malott,Welterweight,4,1,0,1623.029959735542,1633.6317455842827
460,2255,Piera Rodriguez,Women's Strawweight,3,2,0,1531.3517745290585,1570.3410547574938
461,2256,Daniel Santos,Bantamweight,2,1,0,1561.6124595404262,1561.6124595404262
462,2257,Caio Borralho,Middleweight,7,0,0,1757.0035177793864,1757.0035177793864
463,2259,Ange Loosa,Welterweight,2,3,0,1476.1302965895586,1531.791260439605
464,2260,Martin Buday,Heavyweight,5,1,0,1605.4190708287438,1629.7754989313542
465,2261,Trey Ogden,Lightweight,4,3,0,1542.317085799536,1575.9779970273992
466,2262,Evan Elder,Welterweight,2,2,0,1493.1099945393032,1500.0
467,2264,Yohan Lainesse,Welterweight,1,3,0,1404.6469877551488,1500.0
468,2266,Kleydson Rodrigues,Flyweight,1,3,0,1440.4491893387176,1508.7684787139085
469,2267,Fernie Garcia,Bantamweight,0,4,0,1352.702468853438,1500.0
470,2268,Manuel Torres,Lightweight,3,1,0,1581.6185588657158,1631.9201379596227
471,2269,Jake Hadley,Flyweight,3,4,0,1477.3411146571648,1548.0470107767885
472,2270,Tatsuro Taira,Flyweight,6,1,0,1680.7563457046804,1719.2061861823424
473,2272,Lucas Almeida,Featherweight,2,3,0,1474.4709843520427,1555.704523472741
474,2273,Karine Silva,Women's Flyweight,4,1,0,1615.9629145220586,1662.315656773452
475,2275,Dan Argueta,Featherweight,3,3,0,1496.2592152118923,1587.6412764362028
476,2276,Rinat Fakhretdinov,Welterweight,5,0,1,1704.345932571542,1704.345932571542
477,2277,Maheshate,Lightweight,2,3,0,1457.9364147767103,1551.8163520519004
478,2278,Natalia Silva,Women's Flyweight,6,0,0,1716.4194857615355,1716.4194857615355
479,2279,Garrett Armfield,Featherweight,2,3,0,1458.178061148068,1542.5917614937655
480,2280,Emily Ducote,Women's Strawweight,2,3,0,1465.5025512949594,1541.4961877671294
481,2281,Charles Johnson,Flyweight,6,5,0,1558.9851806504018,1592.7112609445353
482,2282,Hamdy Abdelwahab,Heavyweight,1,1,0,1507.9250300568858,1507.9250300568858
483,2283,Adam Fugitt,Welterweight,2,2,0,1508.607834475266,1510.5422235882238
484,2284,Ihor Potieria,Light Heavyweight,2,6,0,1393.303135935555,1522.516125958626
485,2285,Mohammed Usman,Heavyweight,3,2,0,1518.4676219659675,1604.8998272486674
486,2286,Zac Pauga,Heavyweight,1,3,0,1399.637027812101,1500.0
487,2287,Juliana Miller,Women's Flyweight,1,2,0,1448.6558860752043,1550.0
488,2288,Brogan Walker,Women's Flyweight,0,2,0,1412.122200364948,1500.0
489,2289,Yazmin Jauregui,Women's Strawweight,3,2,0,1505.220223530673,1574.7440608646282
490,2290,Iasmin Lucindo,Women's Strawweight,4,2,0,1593.916929066293,1625.2143167389838
491,2291,Lukasz Brzeski,Heavyweight,1,5,0,1381.7218869914732,1500.0
492,2292,Josh Quinlan,Catch Weight,1,3,0,1418.412096733195,1545.4466382098472
493,2293,Da'Mon Blackshear,Bantamweight,4,3,1,1577.504769036446,1577.504769036446
494,2294,William Gomis,Featherweight,4,1,0,1621.0676047611207,1664.4186895582675
495,2295,Jarno Errens,Featherweight,1,3,0,1426.558186967712,1500.0
496,2296,Abus Magomedov,Middleweight,3,2,0,1582.0681181095122,1582.0681181095122
497,2297,Michal Figlak,Lightweight,0,2,0,1419.4673757452117,1500.0
498,2298,Gabriel Miranda,Lightweight,1,2,0,1451.1571719010396,1500.0
499,2299,Cristian Quinonez,Bantamweight,1,2,0,1466.5820869778163,1547.8146017248826
500,2300,Ailin Perez,Women's Featherweight,5,1,0,1634.4588474907516,1634.4588474907516
501,2301,Anton Turkalj,Catch Weight,0,4,0,1355.353590038797,1500.0
502,2303,Melissa Martinez,Women's Strawweight,1,1,0,1492.8487200315544,1500.0
503,2304,Joe Pyfer,Middleweight,4,1,0,1640.630196152572,1640.630196152572
504,2305,Denise Gomes,Women's Strawweight,4,2,0,1596.1736707755388,1596.1736707755388
505,2306,Daniel Zellhuber,Lightweight,3,2,0,1544.8004837009453,1583.4081306739406
506,2308,Chelsea Chandler,Catch Weight,2,2,0,1514.791492331527,1559.3921144333124
507,2309,Lucas Alexander,Featherweight,1,3,0,1402.7030787580647,1500.0
508,2310,Waldo Cortes-Acosta,Heavyweight,6,1,0,1667.576980081452,1667.576980081452
509,2313,Tamires Vidal,Women's Bantamweight,1,3,0,1410.120035812358,1541.7805129360718
510,2314,Tereza Bleda,Women's Flyweight,1,1,0,1494.61924443027,1500.0
511,2315,Francis Marshall,Featherweight,2,3,0,1462.476250308854,1540.555727981261
512,2316,Raul Rosas Jr.,Bantamweight,4,1,0,1609.9975706994055,1609.9975706994055
513,2317,Erik Silva,Featherweight,0,2,0,1415.3639283539198,1500.0
514,2318,Cameron Saaiman,Bantamweight,3,2,0,1530.7875086644842,1624.6344775256864
515,2320,Alessandro Costa,Flyweight,2,2,0,1525.7468951584688,1525.7468951584688
516,2321,Mateus Mendonca,Bantamweight,0,3,0,1398.4098813403905,1500.0
517,2322,Claudio Ribeiro,Middleweight,1,3,0,1418.9092973788277,1500.8784864208778
518,2323,Mateusz Rebecki,Lightweight,4,1,0,1625.3980527703743,1630.6074662274552
519,2324,Nick Fiore,Lightweight,0,2,0,1424.4893096313106,1500.0
520,2325,Nick Aguirre,Featherweight,0,2,0,1413.8628777127212,1500.0
521,2326,Brunno Ferreira,Middleweight,4,2,0,1581.0603053970565,1592.523996842467
522,2327,Melquizael Costa,Lightweight,3,2,0,1566.1344160348028,1566.1344160348028
523,2328,Gabriel Bonfim,Welterweight,4,1,0,1646.067755321044,1646.067755321044
524,2329,Luan Lacerda,Bantamweight,0,2,0,1420.1083981619877,1500.0
525,2330,Ismael Bonfim,Lightweight,2,2,0,1519.3025421974412,1564.3621240552136
526,2331,Daniel Marcos,Bantamweight,5,0,0,1688.0784043291435,1688.0784043291435
527,2332,Yusaku Kinoshita,Welterweight,0,2,0,1402.1596276238442,1500.0
528,2333,Anshul Jubli,Lightweight,1,2,0,1453.3852958650411,1570.0
529,2334,Jeka Saragih,Lightweight,1,2,0,1448.5084045682756,1504.228491682923
530,2335,JeongYeong Lee,Featherweight,2,1,0,1536.836732760654,1590.5931080536575
531,2336,Yizha,Featherweight,0,2,0,1417.7741028314922,1500.0
532,2337,Rinya Nakamura,Bantamweight,3,1,0,1570.291565527768,1620.3400517922355
533,2338,Toshiomi Kazama,Bantamweight,1,2,0,1453.1805248686064,1500.0
534,2339,HyunSung Park,Flyweight,2,0,0,1599.2773857115424,1599.2773857115424
535,2341,Jesus Aguilar,Flyweight,3,2,0,1538.4628893732438,1578.7727761108638
536,2342,Shannon Ross,Flyweight,0,3,0,1366.932999324598,1500.0
537,2343,Francisco Prado,Lightweight,1,3,0,1466.5959801624024,1522.5277884398004
538,2344,Jack Jenkins,Featherweight,3,2,0,1507.8654666850807,1572.1881112958476
539,2345,Blake Bilder,Featherweight,1,2,0,1454.1041775115928,1536.0566140992844
540,2346,Elves Brener,Lightweight,3,2,0,1548.157246931706,1633.8960566786684
541,2347,Jamal Pogues,Heavyweight,2,2,0,1489.0542404250004,1538.4714688583358
542,2348,Nazim Sadykhov,Lightweight,3,0,1,1627.6592573285695,1627.6592573285695
543,2350,Themba Gorimbo,Welterweight,4,2,0,1575.4154559272938,1602.626785832495
544,2351,Clayton Carpenter,Flyweight,2,1,0,1550.961775553807,1585.5594309218477
545,2352,Trevor Peek,Lightweight,2,3,0,1465.2087607295834,1541.6579103819151
546,2353,Gabriella Fernandes,Women's Flyweight,2,2,0,1519.4696282764437,1519.4696282764437
547,2354,Victor Martinez,Lightweight,0,2,0,1404.5862719194097,1500.0
548,2355,Carl Deaton,Lightweight,0,2,0,1422.551856022229,1500.0
549,2356,Nurullo Aliev,Lightweight,2,0,0,1582.6808908729208,1582.6808908729208
550,2357,Bo Nickal,Middleweight,4,0,0,1655.538571627372,1655.538571627372
551,2358,Farid Basharat,Bantamweight,4,0,0,1652.02459810114,1652.02459810114
552,2359,Loik Radzhabov,Lightweight,2,2,0,1503.101832093599,1540.0
553,2360,Esteban Ribovics,Lightweight,3,2,0,1568.352607480375,1597.877688180113
554,2361,Vitor Petrino,Light Heavyweight,4,2,0,1558.1825831995288,1648.0275425141128
555,2362,Karl Williams,Heavyweight,3,1,0,1551.7888600295855,1593.5567771788387
556,2363,Sedriques Dumas,Middleweight,3,2,0,1505.6218438011983,1521.6914501448505
557,2364,Chris Duncan,Lightweight,4,1,0,1610.343171695744,1610.343171695744
558,2365,Yanal Ashmouz,Lightweight,2,1,0,1546.5555105107226,1550.0
559,2366,Sam Patterson,Lightweight,3,1,0,1589.8840475132984,1589.8840475132984
560,2367,Jafel Filho,Flyweight,2,1,0,1558.3485178222884,1558.3485178222884
561,2368,Gabriel Santos,Featherweight,2,2,0,1526.5655520773073,1526.5655520773073
562,2369,Christian Leroy Duncan,Middleweight,4,2,0,1587.2126521561984,1587.2126521561984
563,2370,Vinicius Salvador,Flyweight,0,3,0,1395.9616085335608,1500.0
564,2371,Jaqueline Amorim,Women's Strawweight,3,1,0,1610.6080587985584,1610.6080587985584
565,2372,Bruna Brasil,Women's Strawweight,2,3,0,1469.313998469484,1507.6099146349177
566,2373,Gaston Bolanos,Bantamweight,2,1,0,1522.6785522765197,1527.0972838569144
567,2374,Junior Tafa,Heavyweight,2,3,0,1485.1467617200497,1519.9678725394986
568,2375,Fernando Padilla,Featherweight,2,2,0,1512.8453949664915,1553.261974363014
569,2376,Trey Waters,Welterweight,2,0,0,1584.036727850358,1584.036727850358
