event_id,name,date
209,"UFC 148: Silva vs Sonnen 2",2012-07-07
210,"UFC on FUEL TV: Munoz vs Weidman",2012-07-11
211,"UFC 149: Faber vs Barao",2012-07-21
212,"UFC on FOX: Shogun vs Vera",2012-08-04
213,"UFC 150: Henderson vs Edgar II",2012-08-11
214,"UFC 152: Jones vs Belfort",2012-09-22
215,"UFC on FUEL TV: Struve vs Miocic",2012-09-29
216,"UFC on FX: Browne vs Bigfoot",2012-10-05
217,"UFC 153: Silva vs Bonnar",2012-10-13
218,"UFC Macao: Franklin vs Le",2012-11-10
219,"UFC 154: St-Pierre vs Condit",2012-11-17
220,"UFC on FOX: Henderson vs Diaz",2012-12-08
221,"UFC on FX: Sotiropoulos vs Pearson",2012-12-14
222,"The Ultimate Fighter: Team Carwin vs. Team Nelson Finale",2012-12-15
223,"UFC 155: Dos Santos vs Velasquez II",2012-12-29
224,"UFC on FX: Belfort vs Bisping",2013-01-19
225,"UFC on FOX: Johnson vs Dodson",2013-01-26
226,"UFC 156: Aldo vs Edgar",2013-02-02
227,"UFC on FUEL TV: Barao vs McDonald",2013-02-16
228,"UFC 157: Rousey vs Carmouche",2013-02-23
229,"UFC on FUEL TV: Silva vs. Stann",2013-03-02
230,"UFC 158: St-Pierre vs Diaz",2013-03-16
231,"UFC on FUEL TV: Mousasi vs Latifi",2013-04-06
232,"The Ultimate Fighter: Team Jones vs. Team Sonnen Finale",2013-04-13
233,"UFC on FOX: Henderson vs Melendez",2013-04-20
234,"UFC 159: Jones vs Sonnen",2013-04-27
235,"UFC on FX: Belfort vs. Rockhold",2013-05-18
236,"UFC 160: Velasquez vs Silva 2",2013-05-25
237,"UFC on FUEL TV: Nogueira vs. Werdum",2013-06-08
238,"UFC 161: Evans vs Henderson",2013-06-15
239,"UFC 162: Silva vs Weidman",2013-07-06
240,"UFC on FOX: Johnson vs Moraga",2013-07-27
241,"UFC 163: Aldo vs Jung",2013-08-03
242,"UFC Fight Night: Shogun vs Sonnen",2013-08-17
243,"UFC Fight Night: Condit vs Kampmann 2",2013-08-28
244,"UFC 164: Henderson vs Pettis 2",2013-08-31
245,"UFC Fight Night: Teixeira vs Bader",2013-09-04
246,"UFC 165: Jones vs Gustafsson",2013-09-21
247,"UFC Fight Night: Maia vs Shields",2013-10-09
248,"UFC 166: Velasquez vs Dos Santos 3",2013-10-19
249,"UFC Fight Night: Machida vs Munoz",2013-10-26
250,"UFC Fight Night: Fight for the Troops 3",2013-11-06
251,"UFC Fight Night: Belfort vs Henderson 2",2013-11-09
252,"UFC 167: St-Pierre vs Hendricks",2013-11-16
253,"The Ultimate Fighter: Team Rousey vs. Team Tate Finale",2013-11-30
254,"UFC Fight Night: Hunt vs Bigfoot",2013-12-06
255,"UFC on FOX: Johnson vs. Benavidez 2",2013-12-14
256,"UFC 168: Weidman vs Silva 2",2013-12-28
257,"UFC Fight Night: Saffiedine vs Lim",2014-01-04
258,"UFC Fight Night: Rockhold vs Philippou",2014-01-15
259,"UFC on FOX: Henderson vs Thomson",2014-01-25
260,"UFC 169: Barao vs Faber 2",2014-02-01
261,"UFC Fight Night: Machida vs Mousasi",2014-02-15
262,"UFC 170: Rousey vs McMann",2014-02-22
263,"UFC Fight Night: Kim vs Hathaway",2014-03-01
