fighter_id,name,z_score_composite,scaled_z_score_composite
1550,Ion Cutelaba,-0.06462682863641578,1809.8451246082036
1552,Belal Muhammad,-0.5401553156043548,1660.4919082727395
1554,Khalil Rountree Jr.,-0.15520653876594456,1781.395996084193
1555,Tatiana Suarez,0.09339371348206514,1859.4759603189145
1560,Lando Vannata,-0.25230205048348436,1750.9003951598052
1561,Katlyn Cerminara,-0.16344996914203755,1778.8069128346128
1564,Devin Clark,-0.16244983039137148,1779.1210347921556
1573,Chase Sherman,,
1577,Max Griffin,-0.37321144995607825,1712.9253669726106
1578,Marvin Vettori,-0.23507368277847285,1756.3114529606955
1584,Veronica Hardy,0.21418269687576683,1897.4131684192498
1586,Jack Hermansson,-0.17481371996907197,1775.2378043959698
1590,Ricky Glenn,-0.40389654408483194,1703.2878423504637
1595,Brandon Moreno,-0.07001330668840267,1808.15334831334
1597,Ketlen Vieira,-0.4064661146666226,1702.4807957875155
1598,Marc Diakiese,-0.19984803181528096,1767.3750683129715
1601,Claudio Puelles,-0.17969089116892212,1773.7059903716179
1602,Alexa Grasso,-0.1723156214346078,1776.022403134153
1603,Alexander Volkov,-0.09985953158578112,1798.7792943795416
1608,Abdul Razak Alhassan,0.36260501385973887,1944.029409138836
1612,Alexander Volkanovski,0.07549073380874402,1853.8530214845914
1613,Tyson Pedro,,
1615,Matt Schnell,0.053875553911561666,1847.0641608215888
1618,Ashley Yoder,-0.2063151290739156,1765.343892889413
1620,Gerald Meerschaert,-0.15451557084609208,1781.6130141683725
1623,JJ Aldrich,-0.3182123250352516,1730.1994029718783
1626,Paul Craig,-0.3043818198219157,1734.5432656294595
1627,Irene Aldana,-0.00506846352900317,1828.5511193745563
1628,Niko Price,0.08896404552869142,1858.0846973887947
1629,Drakkar Klose,-0.32143175152104125,1729.1882507200455
1634,Alexandre Pantoja,0.2897131783455446,1921.1356596012304
1636,Volkan Oezdemir,-0.292107504709102,1738.3983626229174
1638,Ricardo Ramos,-0.1282549009207173,1789.8609228088976
1639,Gavin Tucker,1.050502894613852,2160.083260415054
1641,Aiemann Zahabi,-0.36737897960170185,1714.7572198068367
1642,Cynthia Calvillo,-0.32309698392024816,1728.6652372275134
1646,Paulo Costa,0.18485776983366725,1888.2028428707918
1647,Lucie Pudilova,-0.32657042864562097,1727.5743033387666
1656,Brian Kelleher,0.07321401493954943,1853.1379533128106
1657,Deiveson Figueiredo,-0.1853036401837061,1771.9431472595538
1665,Ji Yeon Kim,0.19991780757595484,1892.9328751119428
1666,Dominick Reyes,-0.07945907062597052,1805.1866380878043
1667,Jared Gordon,0.3352623415605393,1935.4416669467107
1669,Justin Gaethje,0.3397519858690953,1936.8517671532422
1672,Cody Stamann,-0.27151560570497846,1744.8658328818092
1674,Trevin Giles,-0.38641955064941025,1708.7769881177287
1681,Amanda Lemos,0.24005693253644628,1905.5397064123456
1682,Eryk Anders,-0.28194159207109654,1741.5912559848957
1685,Calvin Kattar,0.2948739590638501,1922.756549243396
1693,Aleksandar Rakic,-0.2206081663340173,1760.8547589163672
1698,Alex Reyes,,
1708,Nasrat Haqparast,-0.15471627421159156,1781.549977580685
1714,Jessica-Rose Clark,-0.1981788569105216,1767.8993200612567
1715,Shane Young,-0.03859831952991252,1818.0201165550798
1716,Tai Tuivasa,,
1720,Muslim Salikhov,-0.6036849361519933,1640.5386280352905
1722,Song Kenan,-0.057613992759496066,1812.0477047323282
1723,Yan Xiaonan,-0.029796660865025134,1820.7845272406935
1724,Song Yadong,-0.2223479554821827,1760.3083287609818
1730,Sean O'Malley,0.46984396607567763,1977.7108454120228
1734,Montana De La Rosa,-0.20987654968033942,1764.2253276785582
1740,Gillian Robertson,-0.05236166834475984,1813.6973462702726
1745,Alex Perez,0.028882100706827257,1839.2142575544713
1746,Merab Dvalishvili,-0.4214564360161481,1697.77265995799
1747,Julian Marquez,0.41363211015337,1960.0559168256973
1748,Michal Oleksiejczuk,0.01737413042612474,1835.599852903606
1750,Matt Frevola,-0.24689080801920815,1752.5999494211362
1752,Julio Arce,-0.34459925915577433,1721.9118374776206
1753,Dan Ige,-0.2013249148175184,1766.9112112937175
1755,Cory Sandhagen,0.038979470365670246,1842.3856230486651
