id,fighter_id,strikingVolume,strikingSuccess,strikingDefense,knockdownsPerMin,grappingSuccess,grapplingDefense,finishingAbility,controlDominance,weightclass
429,2220,-0.45429389077513693,1.4310114061755728,-0.701291823168703,-0.1089557933156363,0.7173956687622165,1.4057315359435587,-1.2375097203499246,0.3787754128166652,Lightweight
430,2222,0.25361430808442365,0.3451922988145153,0.7302973846728177,-0.17519441710288455,-0.8635949961117704,0.33821973465932903,-0.0718517870248752,-0.2577878614847939,Lightweight
431,2223,-0.9112536715074522,0.4344709751760391,-0.6115664044958327,-0.8465394256799571,1.7103813323917987,2.8116645975123804,1.7810005037819114,-0.0809864682828995,Featherweight
432,2224,-0.1282450857254912,0.9591337351894618,-0.9207953486260184,0.7410666593061832,1.816208233736984,0.04326128159588224,-0.3507848183360772,-0.12693924919309998,Middleweight
433,2225,0.0936806494540927,-0.4405747494274526,0.3339146044859786,1.318005193472545,-0.705029654026617,-1.175765918995483,-0.10311217975182517,-0.20435555120407642,Welterweight
434,2226,0.3588899330783769,-0.3350977109298895,0.08611566558538927,1.8475037805492824,,-1.2695935413325186,1.1967242749226294,-0.22341163529144414,Welterweight
435,2227,1.7925163846829109,0.9220371349967617,1.949783185836748,-0.6626572635372093,-0.7106356685906131,-1.2427941724865728,-0.24221406555707814,-0.3859916360479019,Bantamweight
436,2228,1.60078919811734,-0.33359863160311654,0.029586557102801225,3.329769340332819,-0.1150478647218232,-1.5084274890995164,1.6693920766224313,-0.2835559483451624,Welterweight
437,2229,2.0803323896882975,-0.9252806992155912,5.238381849855972,-1.0236768888136523,,,0.0938327376230922,-0.5343552627720578,Welterweight
438,2231,-0.1613471148018155,-2.1709862594619764,1.6779403844717504,-0.07216762531750506,,0.6196546640888079,-1.2375097203499246,-0.2761468085881847,Lightweight
439,2232,-0.06255310674215019,0.7334350262709454,-0.6666811190248966,-0.14479303733923798,0.3354857625701085,0.9558269087888905,-0.005587386601614441,0.03559979582873625,Women's Flyweight
440,2233,1.066783842253319,0.47788179716145235,-0.56003848676727,-0.6336756314422669,-0.9314469976079675,0.9235698999765859,0.5587856958189475,-0.16926877751314398,Middleweight
441,2234,0.9968641726364486,1.063478199981111,-0.8950881210579235,0.6778137100500141,0.6602080561193314,-1.2772016459751736,0.10400043874143516,-0.1554968548769956,Middleweight
442,2235,-1.2173370226729359,1.9310315075654094,-1.1833603875316334,-0.4582434491399363,3.0240190123129587,0.4892642452252232,1.7297959290320393,0.06071374838858443,Light Heavyweight
443,2236,0.7950256407313216,0.42613909347850315,0.869992363045788,-0.4280294891169194,-0.04756537526424652,-0.504975292302441,-0.9264446631601605,-0.2352687853360507,Flyweight
444,2237,0.3041691173097492,-0.3632700217246346,0.7077323256630079,-0.6336756314422669,0.784676449095188,-0.8370473367848218,-1.260355332491102,0.33606828991651405,Middleweight
445,2238,-1.0617542291341753,1.667690748273925,-1.035917417684066,-1.0236768888136523,-0.6229130845322267,-0.8942830519843777,-1.2847816840013293,-0.3314992867624012,Welterweight
446,2239,-0.3072441872890895,-1.3345701556915441,0.7812933102862262,-0.011483983322054626,,-1.5895809888363082,0.3167008574168078,-0.27492654009267264,Lightweight
447,2240,-0.5639251939716893,0.113164100808274,-0.5820003453939538,0.1489322918153412,1.9113839349543584,0.2816899425878633,-0.0626800602927867,0.04550955443946107,Bantamweight
448,2241,-0.6732510722414519,0.37899706210037004,-0.8539625576162353,-0.8465394256799571,-0.4530741916196447,-0.3625524494326906,-0.5447300557784258,-0.5214686234200727,Featherweight
449,2243,1.2322782517167743,0.37071680292274656,-0.4225924247129257,-0.6336756314422669,-1.0827636442804507,0.9235698999765859,-1.260355332491102,-0.19385187050410985,Middleweight
450,2245,-0.2282909616589021,-0.22052313436327653,-0.025121212609653408,-0.19250049241678452,-0.7987116046861692,-0.7516703294416844,-0.9264446631601605,-0.4654887625903634,Flyweight
