event_id,winner,loser,weight_class,title_fight,true_method,round_end,time,outcome,fight_url
6,Scott Bessac,David Hood,Open Weight,No,SUB,1,0:31,win,http://www.ufcstats.com/fight-details/e9ce3a28eeb83905
6,Onassis Parungao,Francesco Maturi,Open Weight,No,KO/TKO,1,5:26,win,http://www.ufcstats.com/fight-details/e4fe950846b51bdf
6,Joel Sutton,Geza Kalman,Open Weight,No,KO/TKO,1,0:48,win,http://www.ufcstats.com/fight-details/4b334c9727eee450
7,Dan Severn,Oleg Taktarov,Open Weight,Yes,U-DEC,2,3:00,win,http://www.ufcstats.com/fight-details/524b49a676498c6d
7,Oleg Taktarov,Marco Ruas,Open Weight,No,U-DEC,1,18:00,win,http://www.ufcstats.com/fight-details/717f3c3932279196
7,Dan Severn,David Abbott,Open Weight,No,U-DEC,1,18:00,win,http://www.ufcstats.com/fight-details/0d872527bbb3cd40
7,Oleg Taktarov,Dave Beneteau,Open Weight,No,SUB,1,1:15,win,http://www.ufcstats.com/fight-details/d45f9dfdb75a640f
7,Marco Ruas,Keith Hackney,Open Weight,No,SUB,1,2:39,win,http://www.ufcstats.com/fight-details/3e39aac3e15d75bd
7,Dan Severn,Paul Varelans,Open Weight,No,SUB,1,1:01,win,http://www.ufcstats.com/fight-details/8cc976ee1a123fb8
7,David Abbott,Steve Jennum,Open Weight,No,SUB,1,1:14,win,http://www.ufcstats.com/fight-details/6b0430e9c97afec7
7,Mark Hall,Trent Jenkins,Open Weight,No,SUB,1,5:29,win,http://www.ufcstats.com/fight-details/7ffcc3a72e082ace
7,Joe Charles,Scott Bessac,Open Weight,No,SUB,1,4:38,win,http://www.ufcstats.com/fight-details/6449a1a9a69a830c
8,Don Frye,Gary Goodridge,Open Weight,Yes,KO/TKO,1,2:14,win,http://www.ufcstats.com/fight-details/8d2e99599124a16f
8,Ken Shamrock,Kimo Leopoldo,Open Weight,Yes,SUB,1,4:24,win,http://www.ufcstats.com/fight-details/16b4a0b06427f1ac
8,Gary Goodridge,Jerry Bohlander,Open Weight,No,KO/TKO,1,5:31,win,http://www.ufcstats.com/fight-details/f5156ca4dcd2a0e3
8,Don Frye,Sam Adkins,Open Weight,No,KO/TKO,1,0:48,win,http://www.ufcstats.com/fight-details/90bce37a788afeaa
8,Gary Goodridge,Paul Herrera,Open Weight,No,KO/TKO,1,0:13,win,http://www.ufcstats.com/fight-details/8312985b75241b06
8,Jerry Bohlander,Scott Ferrozzo,Open Weight,No,SUB,1,9:03,win,http://www.ufcstats.com/fight-details/ab7390e549e28893
8,Paul Varelans,Joe Moreira,Open Weight,No,U-DEC,1,10:00,win,http://www.ufcstats.com/fight-details/16cb0064575e2b0b
8,Don Frye,Thomas Ramirez,Open Weight,No,KO/TKO,1,0:08,win,http://www.ufcstats.com/fight-details/3cf6583153078f8f
8,Sam Adkins,Keith Mielke,Open Weight,No,KO/TKO,1,0:50,win,http://www.ufcstats.com/fight-details/5701dbbbfa4f8313
